id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,method,umpire1,umpire2,is_playoff,is_eliminator,is_qualifier,is_final,home_of
980925,Chandigarh,2016-04-19,Robin Uthappa,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6.0,,Sundaram Ravi,Chettithody Shamshuddin,0,0,0,0,Kings XI Punjab
980927,Mumbai,2016-04-20,Rohit Sharma,Wankhede Stadium,0,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,wickets,6.0,,Anil Chaudhary,C. K. Nandan,0,0,0,0,Mumbai Indians
980929,Rajkot,2016-04-21,Bhuvneshwar Kumar,Saurashtra Cricket Association Stadium,0,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,10.0,,Krishnamachari Bharatan,Kumar Dharmasena,0,0,0,0,Gujarat Lions
980931,Pune,2016-04-22,AB de Villiers,Maharashtra Cricket Association Stadium,0,Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant,field,Royal Challengers Bangalore,runs,13.0,,Chris Gaffaney,Virender Sharma,0,0,0,0,Rising Pune Supergiant
980933,Delhi,2016-04-23,Sanju Samson,Arun Jaitley Stadium,0,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals,runs,10.0,,Sundaram Ravi,Chettithody Shamshuddin,0,0,0,0,Delhi Capitals
980935,Hyderabad,2016-04-23,Mustafizur Rahman,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,5.0,,Anil Chaudhary,C. K. Nandan,0,0,0,0,Sunrisers Hyderabad
980937,Rajkot,2016-04-24,Virat Kohli,Saurashtra Cricket Association Stadium,0,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Gujarat Lions,wickets,6.0,,Krishnamachari Bharatan,Bruce Oxenford,0,0,0,0,Gujarat Lions
980939,Pune,2016-04-24,Suryakumar Yadav,Maharashtra Cricket Association Stadium,0,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,2.0,,Chris Gaffaney,Nand Kishore,0,0,0,0,Rising Pune Supergiant
980941,Chandigarh,2016-04-25,Parthiv Patel,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,field,Mumbai Indians,runs,25.0,,Nitin Menon,Rod Tucker,0,0,0,0,Kings XI Punjab
980943,Hyderabad,2016-04-26,Ashoke Dinda,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant,runs,34.0,D/L,Anil Dandekar,C. K. Nandan,0,0,0,0,Sunrisers Hyderabad
